SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.2417898	4.2	Colonize	11	2.5605643	4.6	Colonize	
20	21	5.6337214	5.3	Colonize	21	4.4709983	5.5	Colonize	
30	31	7.013823	5.9333334	Colonize	31	6.562022	5.866667	Colonize	
40	41	9.040981	6.1	Colonize	41	9.108116	6.15	Colonize	
50	51	10.982042	6.4	Colonize	51	11.121983	6.4	Colonize	
60	61	14.515406	6.233333	Colonize	61	13.150467	6.5666666	Colonize	
70	71	19.371758	6.1714287	Colonize	71	14.878132	6.6285715	Colonize	
80	81	22.322992	6.35	Colonize	81	17.490322	6.675	Colonize	
90	91	24.325157	6.5333333	Colonize	91	20.125452	6.688889	Colonize	
100	101	26.70893	6.62	Colonize	101	22.067871	6.78	Colonize	
110	111	28.75071	6.690909	Colonize	111	25.392307	6.8545456	Colonize	
120	121	31.800331	6.65	Colonize	121	28.582891	6.883333	Colonize	
130	131	36.420467	6.584615	Colonize	131	30.730492	6.923077	Colonize	
140	141	41.13127	6.5571427	Colonize	141	32.004112	6.957143	Colonize	
150	151	44.812386	6.6666665	Colonize	151	33.15414	7.0266666	Colonize	
160	161	47.800636	6.7875	Colonize	161	35.620472	7.0375	Colonize	
170	171	50.051224	6.882353	Colonize	171	37.16896	7.070588	Colonize	
180	181	51.685112	6.9444447	Colonize	181	40.154408	7.111111	Colonize	
190	191	53.56721	6.968421	Colonize	191	41.773197	7.1473684	Colonize	
200	201	56.27357	6.94	Colonize	201	43.297634	7.18	Colonize	
210	211	57.680748	7.0666666	Colonize	211	45.262444	7.2	Colonize	
220	221	58.97912	7.090909	Colonize	221	47.123405	7.2090907	Colonize	
230	231	60.629097	7.121739	Colonize	231	49.101128	7.208696	Colonize	
240	241	62.72561	7.133333	Colonize	241	50.527004	7.2083335	Colonize	
250	251	63.802536	7.208	Colonize	251	51.566746	7.2	Colonize	
260	261	67.16958	7.1538463	Colonize	261	52.409992	7.1923075	Colonize	
270	271	68.494736	7.2222223	Colonize	264	52.55881	7.189394	Null	
280	281	69.93937	7.2642856	Colonize	264	52.55881	7.189394	Null	
290	288	70.77532	7.219512	Contest	261	50.3548	7.1374044	Reinforce	
300	298	71.88671	7.1313133	Colonize	249	46.81699	7.064	Abandon	
310	308	73.67802	7.1270356	Contest	242	44.32045	6.979424	Reinforce	
320	318	74.21946	7.053628	Contest	230	41.120144	6.909091	Reinforce	
330	328	74.71038	7.0519876	Contest	218	38.40379	6.827273	Abandon	
340	338	75.2438	6.9554896	Contest	206	35.20625	6.753623	Reinforce	
350	348	76.39679	6.8760805	Contest	195	31.500973	6.6192894	Abandon	
360	358	77.25075	6.8011203	Contest	183	27.982445	6.402174	Reinforce	
370	368	79.47025	6.708447	Contest	173	23.330017	6.045977	Reinforce	
380	378	80.080154	6.679045	Contest	162	20.089344	5.803681	Reinforce	
390	388	81.15059	6.614987	Contest	152	16.585995	5.529412	Reinforce	
400	398	81.711174	6.559194	Contest	138	12.828595	5.352518	Reinforce	
410	408	81.20958	6.5257983	Contest	122	10.107573	5.219512	Reinforce	
420	418	81.58924	6.470024	Contest	110	7.286308	4.6666665	Reinforce	
430	427	82.854774	6.5868545	Colonize	101	5.993491	4.627451	Abandon	
440	437	84.77163	6.646789	Colonize	91	4.088307	4.804348	Abandon	
450	447	86.37596	6.780269	Colonize	85	3.1138651	4.9069767	Abandon	
460	447	85.832016	6.84375	Abandon	87	3.2186978	4.9069767	Colonize	
470	451	86.11294	6.8755555	Colonize	87	3.2186978	4.9069767	Colonize	
480	449	85.556175	6.88	Abandon	87	3.5701103	4.931818	Abandon	
490	449	85.556175	6.88	Abandon	87	3.5701103	4.931818	Abandon	
500	449	85.556175	6.88	Abandon	87	3.5701103	4.931818	Abandon	
510	449	85.556175	6.88	Abandon	87	3.5701103	4.931818	Abandon	
520	449	85.556175	6.88	Abandon	87	3.5701103	4.931818	Abandon	
