SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.081215955
E_C = 0.081215955
E_R = 0.020303989
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	2.5907614	4.6	Colonize	11	4.7584305	4.6	Colonize	
20	21	5.7026057	5.5	Colonize	21	8.95511	5.5	Colonize	
30	31	8.825749	5.866667	Colonize	31	11.461104	6.0	Colonize	
40	41	10.975764	6.2	Colonize	41	13.682262	6.15	Colonize	
50	51	13.912866	6.4	Colonize	51	15.124753	6.36	Colonize	
60	61	16.147879	6.5666666	Colonize	61	17.266026	6.4666667	Colonize	
70	71	18.317265	6.714286	Colonize	71	18.749552	6.6285715	Colonize	
80	81	20.618723	6.75	Colonize	81	20.58915	6.725	Colonize	
90	91	23.478836	6.8	Colonize	91	22.441633	6.7777777	Colonize	
100	101	25.323511	6.88	Colonize	101	24.015543	6.84	Colonize	
110	111	27.431845	6.8727274	Colonize	111	26.914625	6.8545456	Colonize	
120	121	28.495668	6.9333334	Colonize	121	30.577887	6.866667	Colonize	
130	131	30.007488	6.9384613	Colonize	131	35.1444	6.876923	Colonize	
140	141	32.21758	6.9857144	Colonize	141	38.84075	6.9142857	Colonize	
150	151	33.190697	7.04	Colonize	151	42.505108	6.9333334	Colonize	
160	161	35.620472	7.0375	Colonize	161	44.729794	6.9875	Colonize	
170	171	37.16896	7.070588	Colonize	171	46.869125	7.035294	Colonize	
180	181	39.880573	7.1222224	Colonize	181	48.43209	7.077778	Colonize	
190	191	41.145157	7.1684213	Colonize	191	50.235622	7.1157894	Colonize	
200	201	42.701435	7.2	Colonize	201	51.873257	7.16	Colonize	
210	211	44.992035	7.2	Colonize	211	53.32467	7.2	Colonize	
220	221	46.114677	7.2	Colonize	221	55.310112	7.2272725	Colonize	
230	231	46.799355	7.191304	Colonize	231	56.88343	7.252174	Colonize	
240	241	47.677235	7.1833334	Contest	241	59.214993	7.266667	Colonize	
250	244	47.551292	7.180328	Contest	243	59.102486	7.259259	Contest	
260	244	46.739143	7.180328	Contest	243	58.290337	7.259259	Contest	
270	244	45.926994	7.180328	Contest	243	57.478188	7.259259	Contest	
280	244	45.114845	7.180328	Contest	243	56.66604	7.259259	Contest	
290	244	44.302696	7.180328	Contest	243	55.85389	7.259259	Contest	
300	244	43.490547	7.180328	Contest	243	55.04174	7.259259	Contest	
310	244	42.6784	7.180328	Contest	243	54.22959	7.259259	Contest	
320	244	41.86625	7.180328	Contest	243	53.417442	7.259259	Contest	
330	244	41.0541	7.180328	Contest	243	52.605293	7.259259	Contest	
340	244	40.24195	7.180328	Contest	243	51.793144	7.259259	Contest	
350	244	39.429802	7.180328	Contest	243	50.980995	7.259259	Contest	
360	244	38.617653	7.180328	Contest	243	50.168846	7.259259	Contest	
370	244	37.805504	7.180328	Contest	243	49.356697	7.259259	Contest	
380	244	36.993355	7.180328	Contest	243	48.544548	7.259259	Contest	
390	244	36.181206	7.180328	Contest	243	47.7324	7.259259	Contest	
400	244	35.369057	7.180328	Contest	243	46.92025	7.259259	Contest	
410	244	34.556908	7.180328	Contest	243	46.1081	7.259259	Contest	
420	244	33.74476	7.180328	Contest	243	45.29595	7.259259	Contest	
430	244	32.93261	7.180328	Contest	243	44.483803	7.259259	Contest	
440	244	32.120457	7.180328	Contest	243	43.671654	7.259259	Contest	
450	246	31.623829	7.1836734	Contest	245	43.630882	7.265306	Colonize	
460	246	30.81166	7.1707315	Contest	245	42.818733	7.257143	Contest	
470	246	29.999493	7.1707315	Contest	245	42.006584	7.257143	Contest	
480	246	29.187325	7.1707315	Contest	245	41.194435	7.257143	Contest	
490	246	28.78124	7.1836734	Contest	250	42.41901	7.256	Colonize	
500	246	28.375156	7.1836734	Contest	255	43.500614	7.262745	Colonize	
510	245	27.487717	7.1836734	Contest	258	43.35114	7.27907	Contest	
520	245	26.675549	7.1836734	Contest	258	42.53899	7.27907	Contest	
530	245	25.86338	7.1836734	Contest	258	41.72684	7.27907	Contest	
540	245	25.051212	7.1836734	Contest	258	40.914692	7.27907	Contest	
550	244	24.052088	7.172131	Contest	259	40.370716	7.2586875	Contest	
560	244	23.23992	7.172131	Contest	259	39.558567	7.2586875	Contest	
570	244	22.427752	7.172131	Contest	259	38.746418	7.2586875	Contest	
580	244	21.615583	7.172131	Contest	259	37.93427	7.2586875	Contest	
590	244	20.803415	7.172131	Contest	259	37.12212	7.2586875	Contest	
600	239	18.344625	7.133333	Reinforce	265	38.769703	7.25	Contest	
610	229	15.971977	7.004329	Abandon	275	40.205334	7.19708	Contest	
620	219	12.834687	6.836364	Reinforce	285	42.327442	7.112676	Contest	
630	208	10.402966	6.742857	Abandon	295	43.707794	7.054422	Contest	
640	197	7.658706	6.6262627	Reinforce	305	45.307117	6.9671054	Contest	
650	187	4.221629	6.510638	Reinforce	315	47.729004	6.859873	Contest	
660	177	1.7662158	6.280899	Reinforce	325	49.169228	6.814815	Contest	
670	163	-0.7033172	5.9636364	Abandon	335	52.184116	6.712575	Contest	
680	149	-0.16289052	5.785235	Colonize	345	54.526318	6.6860466	Contest	
690	137	-0.1308029	5.591241	Colonize	355	56.037598	6.700565	Contest	
700	125	-0.09997255	5.408	Colonize	365	57.41263	6.7197804	Contest	
710	115	-0.19121927	5.147826	Colonize	375	59.75458	6.695187	Contest	
720	105	-0.19713393	5.009524	Colonize	385	61.171314	6.734375	Contest	
730	94	-0.054930992	4.9148936	Colonize	395	62.25949	6.7563453	Contest	
740	78	-0.20912534	5.025	Abandon	405	62.632324	6.811881	Contest	
750	65	-0.18856245	4.597015	Abandon	415	62.823105	6.821256	Contest	
760	53	-0.011765625	4.5454545	Abandon	425	62.985447	6.8537736	Contest	
770	36	-0.18895057	3.8947368	Abandon	435	63.129356	6.81106	Contest	
780	33	-0.081215955	3.4705882	Abandon	445	64.51168	6.927928	Colonize	
790	34	0.09303304	3.4545455	Colonize	455	65.42934	7.061674	Colonize	
800	34	0.011817083	3.4705882	Contest	465	66.8102	7.163793	Colonize	
810	33	-0.081215955	3.4705882	Abandon	475	68.15709	7.2194095	Colonize	
820	34	0.09303304	3.4545455	Colonize	485	69.19311	7.247934	Colonize	
830	34	0.011817083	3.4705882	Contest	488	69.02795	7.2540984	Contest	
840	33	-0.081215955	3.4705882	Abandon	488	68.2158	7.2540984	Contest	
850	32	-0.13948973	3.3939395	Contest	490	67.76471	7.2597136	Contest	
860	27	0.09303304	3.3076923	Colonize	495	67.602615	7.3212123	Contest	
870	27	0.011817083	3.3333333	Contest	495	66.79047	7.3212123	Contest	
880	25	-0.081215955	3.3076923	Abandon	496	66.11825	7.330645	Contest	
890	26	0.09303304	3.28	Colonize	496	65.3061	7.330645	Contest	
900	25	-0.11286023	3.3076923	Contest	497	64.61863	7.330645	Contest	
910	23	-0.04060798	3.1666667	Reinforce	499	64.39252	7.3413653	Contest	
920	21	0.0	3.090909	Abandon	498	63.549065	7.3694777	Contest	
930	21	0.0	3.090909	Abandon	498	62.736916	7.3694777	Contest	
940	20	0.0	3.047619	Abandon	499	62.089073	7.3747497	Contest	
950	20	0.0	3.047619	Abandon	499	61.276924	7.3747497	Contest	
960	20	0.0	3.047619	Abandon	499	60.464775	7.3747497	Contest	
970	19	0.0	3.0	Abandon	499	59.73384	7.3747497	Contest	
